NIM,JK,IPS SMT 1,IPS SMT 2,IPS SMT 3,IPS SMT 4,IPS SMT 5,IPS SMT 6,IPS SMT 7,Pekerjaan,Label1
51113006,0,3.09,2.77,2.61,2.66,2.86,2.00,2.67,0,0
51113045,1,3.78,3.48,3.00,3.45,3.14,2.38,3.05,1,1
51113086,1,3.53,3.27,3.18,3.38,3.32,2.50,3.17,1,1
51113032,1,3.55,3.33,3.25,3.45,3.25,2.58,3.25,1,1
51113066,1,3.32,2.78,2.93,3.08,3.07,2.47,3.14,1,0
51113101,1,3.19,3.33,3.21,3.30,3.21,2.57,3.24,1,1
51113077,1,3.36,3.26,3.18,3.23,3.21,2.50,3.17,1,1
51113009,0,3.58,3.32,3.21,3.45,3.36,3.00,3.67,1,1
51113010,1,3.20,2.65,2.82,2.81,2.79,2.34,3.01,0,0
51113017,1,3.50,3.01,3.00,3.45,3.32,2.75,3.42,0,1
51113116,1,2.25,2.14,2.86,3.00,2.79,1.96,2.63,0,0
51113056,0,3.42,3.30,2.68,2.55,3.54,3.06,3.73,1,1
51113091,1,2.83,2.44,3.14,3.26,3.61,2.75,3.42,1,1
51113025,1,3.57,3.43,3.21,3.45,3.25,2.83,3.50,1,1
51113061,0,3.17,2.91,2.89,2.96,2.71,2.42,3.09,1,0
51113033,1,3.40,2.98,3.00,3.15,3.00,2.29,2.96,0,0
51113103,1,3.64,3.84,3.32,3.49,3.46,3.00,3.67,1,1
51113106,0,3.31,3.31,3.43,3.30,3.14,2.92,3.59,1,1
51113107,0,3.81,3.59,3.43,3.60,3.36,3.30,3.97,1,1
51113108,0,1.91,3.52,2.96,3.15,2.07,1.33,2.00,0,0
51113110,0,3.10,3.28,2.79,2.00,2.68,2.68,3.35,0,0
51113111,1,3.89,3.57,3.29,3.34,3.57,2.17,2.84,0,1
51113115,0,3.14,2.65,2.57,3.34,2.93,2.40,3.07,0,0
51113137,0,2.84,3.09,2.61,3.19,3.36,2.00,2.67,0,0
