JK,IPS SMT 1,IPS SMT 2,IPS SMT 3,IPS SMT 4,IPS SMT 5,IPS SMT 6,IPS SMT 7,Pekerjaan,Label1
0,3.09,2.77,2.61,2.66,2.86,2.0,2.67,0,0
1,3.78,3.48,3.0,3.45,3.14,2.38,3.05,1,1
1,3.53,3.27,3.18,3.38,3.32,2.5,3.17,1,1
1,3.55,3.33,3.25,3.45,3.25,2.58,3.25,1,1
1,3.32,2.78,2.93,3.08,3.07,2.47,3.14,1,0
1,3.19,3.33,3.21,3.3,3.21,2.57,3.24,1,1
1,3.36,3.26,3.18,3.23,3.21,2.5,3.17,1,1
0,3.58,3.32,3.21,3.45,3.36,3.0,3.67,1,1
1,3.2,2.65,2.82,2.81,2.79,2.34,3.01,0,0
1,3.5,3.01,3.0,3.45,3.32,2.75,3.42,0,1
1,2.25,2.14,2.86,3.0,2.79,1.96,2.63,0,0
0,3.42,3.3,2.68,2.55,3.54,3.06,3.73,1,1
1,2.83,2.44,3.14,3.26,3.61,2.75,3.42,1,1
1,3.57,3.43,3.21,3.45,3.25,2.83,3.5,1,1
0,3.17,2.91,2.89,2.96,2.71,2.42,3.09,1,0
1,3.4,2.98,3.0,3.15,3.0,2.29,2.96,0,0
1,3.64,3.84,3.32,3.49,3.46,3.0,3.67,1,1
0,3.31,3.31,3.43,3.3,3.14,2.92,3.59,1,1
0,3.81,3.59,3.43,3.6,3.36,3.3,3.97,1,1
0,1.91,3.52,2.96,3.15,2.07,1.33,2.0,0,0
0,3.1,3.28,2.79,2.0,2.68,2.68,3.35,0,0
1,3.89,3.57,3.29,3.34,3.57,2.17,2.84,0,1
0,3.14,2.65,2.57,3.34,2.93,2.4,3.07,0,0
0,2.84,3.09,2.61,3.19,3.36,2.0,2.67,0,0
1,2.92,2.64,2.68,3.11,2.57,2.0,2.67,0,0
0,3.48,3.15,2.82,3.41,2.82,2.17,2.84,0,0
0,2.8,2.58,2.93,2.48,2.21,2.04,3.34,0,0
1,3.51,3.45,3.36,3.45,3.75,2.21,3.51,0,1
0,2.85,2.88,3.07,3.11,2.64,1.71,3.01,0,0
0,3.5,2.61,2.89,3.19,3.32,2.11,3.41,0,1
0,3.41,3.06,2.86,3.19,2.96,2.29,3.59,1,1
0,3.01,2.88,3.04,2.33,2.5,0.9,2.2,0,0
0,2.98,2.61,2.86,3.15,2.93,1.96,3.26,1,0
1,3.77,3.64,3.39,3.53,3.79,2.25,3.55,1,1
0,3.27,3.49,3.29,3.3,2.0,0.7,2.0,1,0
1,3.44,3.22,3.32,3.23,3.32,2.38,3.68,0,1
0,3.06,3.03,2.5,3.38,2.79,1.13,2.43,0,0
0,3.72,3.57,2.64,3.3,3.79,2.63,3.93,1,1
1,3.7,3.4,3.04,3.3,3.82,2.42,3.72,1,1
0,3.16,3.05,2.61,3.19,3.25,2.29,3.59,1,1
0,3.02,2.94,2.82,3.19,3.39,2.43,3.73,1,1
0,3.2,3.11,2.89,3.34,3.29,1.83,3.13,1,0
0,3.3,2.51,2.71,3.04,3.04,1.21,2.51,1,0
0,2.98,2.7,2.68,3.11,3.04,2.14,3.44,1,0
0,3.48,3.47,2.86,3.23,3.43,2.25,3.55,1,1
0,3.1,2.4,3.21,3.26,3.04,2.0,3.3,1,0
0,3.39,3.06,2.89,3.38,3.32,2.5,3.8,1,1
0,3.3,2.91,2.36,3.08,3.43,2.39,3.69,1,1
1,3.27,3.32,3.96,3.49,3.79,2.34,3.64,1,1
0,3.3,2.85,2.18,2.74,2.68,1.79,3.09,1,0
1,3.59,3.39,3.04,3.23,3.68,2.38,3.68,1,1
0,3.58,3.15,2.86,3.41,3.54,2.42,3.72,1,1
1,3.48,3.26,2.96,3.19,3.61,2.42,3.72,1,1
0,3.07,2.51,1.96,3.19,3.07,1.77,3.07,1,0
1,2.2,2.57,2.26,3.0,2.71,2.38,2.71,1,0
1,3.49,3.2,2.91,3.0,3.92,3.25,3.92,1,1
0,3.68,3.44,3.06,3.0,3.88,3.21,3.88,1,1
0,3.1,2.92,2.69,3.0,3.25,2.79,3.25,1,1
0,3.56,3.64,3.08,3.0,3.63,2.96,3.63,1,1
1,3.42,3.3,2.88,3.0,3.88,3.21,3.88,0,1
0,2.88,2.0,3.04,2.0,2.0,3.05,2.87,0,0
0,3.77,3.51,3.54,3.49,3.54,2.71,3.38,1,1
1,2.77,2.72,2.67,2.18,3.5,2.0,2.67,0,0
0,3.61,3.31,3.04,3.56,2.57,2.0,2.67,1,0
1,3.88,3.63,3.39,3.38,3.46,2.04,2.71,0,1
1,3.36,3.33,3.0,3.26,3.36,2.46,3.13,0,1
1,3.91,3.7,3.57,3.53,3.86,2.58,3.25,1,1
0,3.25,3.18,1.71,2.44,3.0,2.75,3.42,1,0
0,3.5,3.49,3.11,3.45,3.57,3.04,3.71,1,1
1,3.53,3.65,4.0,3.64,3.5,3.13,3.8,1,1
1,3.45,3.19,2.86,2.81,2.86,2.08,2.75,0,0
0,2.2,2.4,2.57,3.19,2.43,2.0,3.3,0,0
1,3.8,3.68,3.18,3.53,3.75,2.33,3.63,0,1
0,3.32,3.2,3.18,3.15,3.43,2.32,3.62,0,1
1,3.53,3.09,3.21,3.38,3.21,2.42,3.72,0,1
1,3.47,3.01,3.07,3.49,3.25,2.21,3.51,0,1
0,3.7,3.15,3.54,3.38,3.68,2.46,3.76,0,1
1,3.06,3.18,3.29,3.45,3.79,2.58,3.88,0,1
1,3.22,3.2,2.82,3.0,3.54,2.92,3.54,0,1
1,3.45,3.15,3.21,3.41,3.46,2.54,3.21,0,1
0,3.65,3.33,3.21,3.34,3.25,2.29,2.96,1,1
1,3.58,3.44,3.32,3.34,3.39,2.29,2.96,1,1
0,3.84,3.84,3.68,3.53,3.64,2.17,2.84,1,1
1,3.48,3.43,3.25,3.41,3.54,2.5,3.17,1,1
1,3.53,3.09,3.21,3.41,3.25,2.75,3.42,1,1
1,3.78,3.44,3.18,3.49,3.43,2.96,3.63,1,1
1,3.11,3.18,3.97,3.34,3.36,2.83,3.5,1,1
0,3.06,3.47,3.36,3.38,2.57,3.3,3.97,1,1
1,3.63,3.26,2.86,3.45,3.36,2.21,3.51,1,1
1,3.41,2.81,2.86,3.34,3.64,2.38,3.68,1,1
1,3.57,3.48,3.29,3.53,3.57,2.42,3.72,1,1
0,3.34,3.15,3.07,3.08,3.43,1.68,2.98,1,0
1,3.53,3.63,3.11,3.41,3.82,2.0,3.3,1,1
1,3.84,3.6,3.17,3.0,3.92,3.25,3.92,1,1
1,3.63,3.35,2.79,3.45,3.39,2.63,3.3,1,1
0,3.85,3.19,3.64,3.38,3.61,2.79,3.46,1,1
0,3.7,3.3,3.29,3.45,3.61,2.46,3.13,1,1
0,3.53,3.64,3.07,3.0,3.96,3.29,2.8,1,1
1,3.86,3.86,3.26,3.0,3.75,3.25,2.8,1,1
0,3.64,3.23,3.04,3.23,3.57,2.85,3.52,1,1
1,3.5,3.13,3.25,3.34,3.5,2.07,2.74,1,1
0,2.44,2.93,2.82,3.23,2.5,2.88,3.55,1,0
1,3.74,3.49,3.43,3.53,3.5,2.58,3.25,1,1
1,3.83,3.61,3.61,3.41,3.68,2.63,3.3,1,1
0,3.76,3.36,3.36,3.49,3.57,3.21,3.88,1,1
1,3.59,3.22,2.64,3.04,3.25,2.68,3.35,1,1
0,3.8,3.49,3.04,3.38,3.82,2.63,3.93,1,1
0,3.52,2.91,3.0,3.34,3.43,2.25,3.55,1,1
0,3.44,3.78,3.57,3.6,3.89,2.58,3.88,1,1
1,3.58,2.77,3.07,3.34,3.71,2.25,3.55,1,1
1,3.43,3.6,4.0,3.49,3.86,2.58,3.88,1,1
1,3.74,3.38,2.86,3.34,3.89,2.5,3.8,1,1
0,3.55,3.1,3.66,3.7,3.63,3.21,2.85,1,1
1,3.61,3.74,3.91,3.66,3.79,3.46,2.85,1,1
1,3.63,3.48,3.81,3.74,3.58,3.34,3.6,1,1
0,3.16,3.23,3.5,3.48,3.46,3.26,2.85,1,1
1,3.57,3.48,3.84,3.71,3.67,3.24,3.85,1,1
1,2.91,3.11,3.64,2.95,3.61,3.22,2.8,1,1
1,3.51,3.04,3.22,3.56,3.71,3.34,3.65,1,1
1,3.94,3.7,3.78,4.0,3.79,3.44,3.75,1,1
1,3.5,3.31,3.22,3.34,3.42,3.67,3.7,1,1
0,2.33,2.0,2.0,2.56,3.04,3.25,2.0,1,0
1,3.23,3.35,3.24,3.49,3.75,3.06,2.65,1,1
1,3.35,3.01,3.21,3.3,3.21,3.02,3.4,1,1
0,3.33,3.15,3.22,3.7,3.79,3.45,3.69,1,1
